"id","accountId","categoryId","reference","amount","currency","date"
"4f87e7c0-2831-4a38-9b94-dc94f2e8554d","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","0ca2a326-085d-45c8-8a15-9e72f2598104",,-4.69,"GBP",2017-09-01 23:00:00.000
"56b80608-ed28-4182-a509-09ff9deb3ec9","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","11bb7aa7-61e6-4753-b3f2-365f83694417",,-3.99,"GBP",2017-09-01 23:00:00.000
"1a74ff6b-2c56-4c88-9f4e-7e1399092d9b","313ac86b-337c-484f-9a81-0e1c207699aa","e5e088d9-ab98-450c-be61-ef7b85940a0b",,-3.99,"EUR",2017-09-01 23:00:00.000
"39ef604d-4e9b-4caa-bdee-7423871601df","313ac86b-337c-484f-9a81-0e1c207699aa","b61354fc-c493-46fe-8edd-87da4f503965",,-4.69,"EUR",2017-09-01 23:00:00.000
"0ede387c-003a-4c9b-a16c-69aec80db524","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","292c404b-a504-4bb7-abcd-a50816620330",,-39.05,"GBP",2017-09-02 23:00:00.000
"a3a3dbb3-c46a-4e0e-9208-e25b35c4b985","313ac86b-337c-484f-9a81-0e1c207699aa","b61354fc-c493-46fe-8edd-87da4f503965",,-39.05,"EUR",2017-09-02 23:00:00.000
"848d8ef6-83fd-4662-92b7-075081f2a025","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","f805cb0b-af81-419b-a336-df6d79f16093",,-63.73,"GBP",2017-09-06 23:00:00.000
"97cd6fbf-9146-4853-8d65-18a546f1f762","313ac86b-337c-484f-9a81-0e1c207699aa","0ca2a326-085d-45c8-8a15-9e72f2598104",,-63.73,"EUR",2017-09-06 23:00:00.000
"3ec95623-9267-4f34-9ffb-4f1c1eec2afe","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","cb55a2e0-0299-449d-bd81-6d1a71e8b0da",,-0.12,"GBP",2017-09-06 23:00:00.000
"b579f728-e854-4069-b62f-a8775aa78e78","313ac86b-337c-484f-9a81-0e1c207699aa","a5f851cb-f3ff-41e3-8629-929395e65d50",,-0.12,"EUR",2017-09-06 23:00:00.000
"0488f712-9935-4973-8d69-f11c2edf2aed","313ac86b-337c-484f-9a81-0e1c207699aa","0ca2a326-085d-45c8-8a15-9e72f2598104",,-42.71,"EUR",2017-09-08 23:00:00.000
"d83555a5-9078-41d8-951d-d165bbb1c5a5","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","292c404b-a504-4bb7-abcd-a50816620330",,-0.12,"GBP",2017-09-08 23:00:00.000
"bc226d20-9276-413d-889c-db41086effa3","313ac86b-337c-484f-9a81-0e1c207699aa","e4cb1102-1e2d-407e-b986-a7f14a7f0835",,-0.12,"EUR",2017-09-08 23:00:00.000
"8944125f-06ba-4438-a8ef-fd3955862777","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","350a5a32-beee-47f3-bb71-3814d4a7082a","Electer Bander Hostelry",-42.71,"GBP",2017-09-08 23:00:00.000
"72518d6f-28d5-44f3-9a23-55ad4c0064f1","313ac86b-337c-484f-9a81-0e1c207699aa","80304577-2f6b-481f-bf46-28d243046b66",,3835.25,"EUR",2017-09-11 23:00:00.000
"6c6f1e93-ec49-4a64-a19b-37abe849da16","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","2059e527-77e3-443e-80f7-d38dc9656b55",,3835.25,"GBP",2017-09-11 23:00:00.000
"6a0b25c1-2a53-4acc-88a0-3c17af3e58e3","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","0c600155-27a0-40ce-9df5-523f2831ff56","Pantries Uvulatomy Catamenial",-27.56,"GBP",2017-09-13 23:00:00.000
"90d1901b-2fc5-4b08-8937-1d31ad08235c","313ac86b-337c-484f-9a81-0e1c207699aa","536d9623-863d-4011-a04a-31e85066810d",,-0.57,"EUR",2017-09-13 23:00:00.000
"d90766a5-69dc-4594-8c8c-6c561913c287","313ac86b-337c-484f-9a81-0e1c207699aa","0bc45cf5-6dc7-4cfb-bae4-b740816862ac",,-27.56,"EUR",2017-09-13 23:00:00.000
"cdd4e6c6-b290-4113-973c-59f62ad0c98e","a3bbb581-7e91-488e-a416-8ac8f5f6f5be",,"Irreconcilable Millrind Statutably",-0.57,"GBP",2017-09-13 23:00:00.000
"3a429194-3554-46dc-90c1-f45f2929436d","a3bbb581-7e91-488e-a416-8ac8f5f6f5be","6ad0e563-7f94-417d-8370-7eca2e52b2cc",,-17.45,"GBP",2017-09-14 23:00:00.000
"4851bce2-c856-4e7d-8f2a-69a134f1d6d9","313ac86b-337c-484f-9a81-0e1c207699aa","c134faed-5c47-4b76-8439-3f3c808ef782",,-17.45,"EUR",2017-09-14 23:00:00.000
"8862af86-4d46-4b69-8b67-e5bb9e205574","313ac86b-337c-484f-9a81-0e1c207699aa","f0fd67cd-8c38-4883-8a39-529974b6f3a1",,-1212.44,"EUR",2017-09-15 23:00:00.000
